"SourcePath","Category","RegionUsage","AdapterPrefab","LicenseNote","Approved"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Sprite shape fill.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Sprite shape sidea.png","Prop","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Cristal Dungeon sprite pack/Cristal Sprites/Star particle.png","VFX","Polaris|StarlessSea","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background clouds.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background Dune A.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background Dune B.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background Dune C.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background Dune D.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background Dune Elements 2.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background Dune Elements.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Background sky.png","Background","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/desert ground elements.png","Terrain","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert mushrooms.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Desert pack/Sprites/Desert pack boxes.png","Prop","Sun","","Imported source; original protected; license record retained with project owner","False"
